Name,Rubric Level,Rubric Item,Rubric Group,Rubric Unit
Recognize array literals,1 (Novice),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Create an array using an array literal,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Access items in an array by index,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Add items to an array using push,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Add items to an array using unshift,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Remove items from an array using pop,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Remove items from an array using shift,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
"Operate on an array using enumerable methods (e.g. sort, include?, reverse)",3 (Progressing),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Explain the concept of iteration over an array,3 (Progressing),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Iterate over arrays using enumerable methods,3 (Progressing),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
"Explain the return value of Array#each, Array#map, Array#find, and Array#select",3 (Progressing),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Iterate over nested arrays,4 (Proficient),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Remove an element from the middle of an array,4 (Proficient),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Implement a binary search method for sorted arrays,5 (Mastery),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Implement a method which flattens nested arrays,5 (Mastery),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Describe the relationship between arrays and stacks,5 (Mastery),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Describe the relationship between arrays and queues,5 (Mastery),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define and provide examples of the number type,1 (Novice),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define and provide examples of the hash type,1 (Novice),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define and provide examples of the string type,1 (Novice),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define and provide examples of the symbol type,1 (Novice),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define and provide examples of the array type,1 (Novice),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define and provide examples of the boolean type,1 (Novice),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define the nil type,1 (Novice),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Combine two strings through concatenation,2 (Emerging),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Combine two strings through interpolation,2 (Emerging),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Create a inclusive and exclusive number range,2 (Emerging),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Find and replace a substring in a string,2 (Emerging),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Distinguish between literal and class constructors,3 (Progressing),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Access and change data in a hash,3 (Progressing),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Access and change data in an array,3 (Progressing),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Convert between floats and integers,3 (Progressing),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Convert between strings and integers,3 (Progressing),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Describe mutability,4 (Proficient),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Identify immutable data types,4 (Proficient),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Describe pass-by-value versus pass-by-reference,5 (Mastery),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Identify pass-by-value data types,5 (Mastery),Data types,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Identify an exception and its message,1 (Novice),Exceptions,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define stacktrace/backtrace,1 (Novice),Exceptions,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Recall common exceptions,2 (Emerging),Exceptions,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Rescue a specific exception,3 (Progressing),Exceptions,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Raise an unspecified exception with a message,3 (Progressing),Exceptions,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define and raise a custom exception,4 (Proficient),Exceptions,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Explain why best practice is to always rescue specific exceptions,4 (Proficient),Exceptions,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Implement an exception handler that uses other clauses in addition to rescue,5 (Mastery),Exceptions,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Explain the structure in which hashes hold data,1 (Novice),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Create a hash using the literal constructor,1 (Novice),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Retrieve data from a one-dimensional hash,1 (Novice),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Add data to a one-dimensional hash,1 (Novice),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Describe the syntax of a hash,1 (Novice),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Iterate over a hash using Hash#each,2 (Emerging),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Construct a multi-dimensional hash,2 (Emerging),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Access data in multi-dimensional hash,2 (Emerging),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define key in the context of a hash,2 (Emerging),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Iterate over a multi-dimensional hash,3 (Progressing),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Compare and contrast iterating over hashes to iterating over arrays,3 (Progressing),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define nested data structures,3 (Progressing),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Compare and contrast accessing values in hashes to accessing values in arrays,3 (Progressing),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Map over a hash to get an array of values,4 (Proficient),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Iterate over a nested data structure including nested hashes and arrays,4 (Proficient),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Create a hash with default values,4 (Proficient),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Compare and contrast hashes with string keys to hashes with symbol keys,4 (Proficient),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Define associative array and compare to array,5 (Mastery),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Implement a custom hash type,5 (Mastery),Hashes,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Open and close the terminal,1 (Novice),Bash,General programming in Ruby,Ruby
Define Bash,1 (Novice),Bash,General programming in Ruby,Ruby
Define a shell,1 (Novice),Bash,General programming in Ruby,Ruby
Define environment variables,1 (Novice),Bash,General programming in Ruby,Ruby
Explain use of `ls` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Explain use of `cd` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Explain use of `open` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Explain use of the `pwd` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Explain use of the `touch` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Explain use of the `ruby` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Explain the use of the `mkdir` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Explain use of the `rm` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Explain use of the `rmdir` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Explain use of the `cp` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Explain use of the `mv` Bash command,2 (Emerging),Bash,General programming in Ruby,Ruby
Distinguish between a Bash session and the terminal window,3 (Progressing),Bash,General programming in Ruby,Ruby
Distinguish between absolute paths and relative paths,3 (Progressing),Bash,General programming in Ruby,Ruby
Display hidden files using flags,3 (Progressing),Bash,General programming in Ruby,Ruby
Display all running programs,3 (Progressing),Bash,General programming in Ruby,Ruby
"Predict differences in results of executing `cd`, `cd ~`, `cd .`, and `cd ..` Bash commands",4 (Proficient),Bash,General programming in Ruby,Ruby
Describe the purpose of the PATH environment variable,4 (Proficient),Bash,General programming in Ruby,Ruby
Describe how the pipe operator works in the command line,4 (Proficient),Bash,General programming in Ruby,Ruby
Create an environment variable,5 (Mastery),Bash,General programming in Ruby,Ruby
Add a custom path to the PATH environment variable,5 (Mastery),Bash,General programming in Ruby,Ruby
Use the output of one program as the input to another with the pipe operator,5 (Mastery),Bash,General programming in Ruby,Ruby
Define Command Line Interface (CLI),1 (Novice),CLI,General programming in Ruby,Ruby
Implement a CLI which takes one piece of user input and prints out a message in response,2 (Emerging),CLI,General programming in Ruby,Ruby
Implement a CLI class which listens for and delegates user input to other classes,3 (Progressing),CLI,General programming in Ruby,Ruby
Implement a CLI which runs until a user signals to exit it,4 (Proficient),CLI,General programming in Ruby,Ruby
Use user feedback to improve the user experience of a CLI,5 (Mastery),CLI,General programming in Ruby,Ruby
Define REPL and why it's a useful tool in programming,1 (Novice),Debugging,General programming in Ruby,Ruby
Access and exit IRB from your console,1 (Novice),Debugging,General programming in Ruby,Ruby
Distinguish an IRB session from your Bash session,2 (Emerging),Debugging,General programming in Ruby,Ruby
Compare IRB to the concept of a REPL,3 (Progressing),Debugging,General programming in Ruby,Ruby
Execute Ruby code in an IRB session,3 (Progressing),Debugging,General programming in Ruby,Ruby
Compare Pry to IRB,3 (Progressing),Debugging,General programming in Ruby,Ruby
Use Pry in a method to pause execution and debug,4 (Proficient),Debugging,General programming in Ruby,Ruby
Use Pry to capture an entire program's scope,5 (Mastery),Debugging,General programming in Ruby,Ruby
Identify method that writes text (output) to the console,1 (Novice),I/O,General programming in Ruby,Ruby
Identify method that receives text (input) from the console,1 (Novice),I/O,General programming in Ruby,Ruby
Explain the difference between input from and output to the console,2 (Emerging),I/O,General programming in Ruby,Ruby
Compare the side-effect of calling `puts` versus calling `print` with text,2 (Emerging),I/O,General programming in Ruby,Ruby
"Implement a program which writes ""Hello world"" to the console",3 (Progressing),I/O,General programming in Ruby,Ruby
Implement a method which writes user input directly to the console,3 (Progressing),I/O,General programming in Ruby,Ruby
Describe how one could store the result of calling `gets` to a variable,4 (Proficient),I/O,General programming in Ruby,Ruby
"Implement a method which receives user input, stores that input to a variable, and outputs text conditionally based on the input",5 (Mastery),I/O,General programming in Ruby,Ruby
Define Application Programming Interface (API),1 (Novice),Importing remote data,General programming in Ruby,Ruby
Define web scraping,1 (Novice),Importing remote data,General programming in Ruby,Ruby
Define JavaScript Object Notation (JSON),1 (Novice),Importing remote data,General programming in Ruby,Ruby
Describe ways that programmers work with APIs,2 (Emerging),Importing remote data,General programming in Ruby,Ruby
Implement a method which loads data from another file,3 (Progressing),Importing remote data,General programming in Ruby,Ruby
Implement a method which loads scraped data from an HTML web page,3 (Progressing),Importing remote data,General programming in Ruby,Ruby
Implement a method which loads JSON data from a website,3 (Progressing),Importing remote data,General programming in Ruby,Ruby
Use remote data to instantiate objects,4 (Proficient),Importing remote data,General programming in Ruby,Ruby
Create classes to load a file / scrape HTML web pages / request remote data,4 (Proficient),Importing remote data,General programming in Ruby,Ruby
Explain why abstracting the work of loading remote data is good practice,5 (Mastery),Importing remote data,General programming in Ruby,Ruby
Define separation of concerns (SOC),5 (Mastery),Importing remote data,General programming in Ruby,Ruby
Define programming library,1 (Novice),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Define Ruby gem,1 (Novice),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Install a Ruby gem globally,2 (Emerging),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Load gem as dependency in a file,2 (Emerging),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Define dependency,2 (Emerging),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Load another Ruby file as a dependency in a file,2 (Emerging),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Create a Gemfile,3 (Progressing),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Install gems specific to a project using Gemfile,3 (Progressing),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Explain the purpose of the Gemfile.lock,4 (Proficient),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Create an environment file which loads all project dependencies,4 (Proficient),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Explain how gems relate to your Ruby version,4 (Proficient),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Locate a gem on your filesystem,4 (Proficient),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Create a gem locally,5 (Mastery),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
Host a gem on Rubygems.org,5 (Mastery),Libraries and dependencies in Ruby,General programming in Ruby,Ruby
"Recognize addition, multiplication, subtraction, and division operators",1 (Novice),Math in Ruby,General programming in Ruby,Ruby
Recognize the remainder operator,1 (Novice),Math in Ruby,General programming in Ruby,Ruby
Recognize the Math.sqrt method,1 (Novice),Math in Ruby,General programming in Ruby,Ruby
Define the remainder operator,1 (Novice),Math in Ruby,General programming in Ruby,Ruby
Compare the division and modulo operators,2 (Emerging),Math in Ruby,General programming in Ruby,Ruby
Explain how to define an order of operation,2 (Emerging),Math in Ruby,General programming in Ruby,Ruby
Implement a method which combines two or more mathematical operations,3 (Progressing),Math in Ruby,General programming in Ruby,Ruby
"Find the method to perform a cube root NOTE: Knowing what you need to solve, can you figure out how to solve it without doing google search ",4 (Proficient),Math in Ruby,General programming in Ruby,Ruby
"Differentiate between integer division and floating-point (""decimal"") division",4 (Proficient),Math in Ruby,General programming in Ruby,Ruby
"Implement a method which accepts an array of numbers and outputs the average, NOTE: These are more like examples; If a student can meet this 5 criteria, they can solve these problems",5 (Mastery),Math in Ruby,General programming in Ruby,Ruby
Implement a method which accepts a number as the radius of a circle and outputs the area,5 (Mastery),Math in Ruby,General programming in Ruby,Ruby
Implement a method which accepts a number as the diameter of a circle and outputs the circumference,5 (Mastery),Math in Ruby,General programming in Ruby,Ruby
Define metaprogramming,1 (Novice),Metaprogramming in Ruby,General programming in Ruby,Ruby
Define keyword arguments,1 (Novice),Metaprogramming in Ruby,General programming in Ruby,Ruby
Define macro,1 (Novice),Metaprogramming in Ruby,General programming in Ruby,Ruby
Define mass assignment,1 (Novice),Metaprogramming in Ruby,General programming in Ruby,Ruby
Define positional arguments,1 (Novice),Metaprogramming in Ruby,General programming in Ruby,Ruby
Define abstraction,1 (Novice),Metaprogramming in Ruby,General programming in Ruby,Ruby
Summarize how keyword arguments and mass assignment work together,2 (Emerging),Metaprogramming in Ruby,General programming in Ruby,Ruby
Explain how mass assignment and macros fit under the umbrella of metaprogramming,2 (Emerging),Metaprogramming in Ruby,General programming in Ruby,Ruby
Compare the use of positional arguments and keyword arguments,2 (Emerging),Metaprogramming in Ruby,General programming in Ruby,Ruby
Explain how the rest operator works in the parameter list,2 (Emerging),Metaprogramming in Ruby,General programming in Ruby,Ruby
Implement a method which takes in named keyword arguments and prints them out one at a time,3 (Progressing),Metaprogramming in Ruby,General programming in Ruby,Ruby
Implement a method which takes in dynamic keyword arguments and prints them out one at a time,3 (Progressing),Metaprogramming in Ruby,General programming in Ruby,Ruby
Implement a method which takes three positional arguments,3 (Progressing),Metaprogramming in Ruby,General programming in Ruby,Ruby
Implement a method which optionally takes three positional arguments,3 (Progressing),Metaprogramming in Ruby,General programming in Ruby,Ruby
Implement an instance method which assigns instance variables based on keyword arguments passed in,3 (Progressing),Metaprogramming in Ruby,General programming in Ruby,Ruby
Distinguish between use cases for methods with named and dynamic keyword arguments,4 (Proficient),Metaprogramming in Ruby,General programming in Ruby,Ruby
Outline potential benefits and drawbacks of using mass assignment,4 (Proficient),Metaprogramming in Ruby,General programming in Ruby,Ruby
Create a macro which takes a symbol that creates a getter instance method in the current context for the instance variable with the same name as that symbol,5 (Mastery),Metaprogramming in Ruby,General programming in Ruby,Ruby
Create a macro which takes a symbol that creates a setter instance method in the current context for the instance variable with the same name as that symbol,5 (Mastery),Metaprogramming in Ruby,General programming in Ruby,Ruby
